Mês;  Até 18 anos  ;R$ até 18 anos; 19-25 anos ;R$ 19-25 anos; 26-30 anos ;R$ 26-30 anos; 31-40 anos ;R$ 31-40 anos; 41-50 anos ;R$ 41-50 anos; 51-59 anos ;R$ 51-59 anos; ≥ 60 anos ;R$ ≥ 60 anos;  ≥ 80 anos ; R$ ≥ 80 anos
mai/24;2.354;3.069.373,91;106.689;74.216.119,36;294.256;277.308.635,39;844.334;1.083.679.629,38;892.839;1.469.663.801,31;566.783;1.040.379.255,27;2.595.933;4.787.102.448,70;258.877;764.580.736,68
abr/24;749;1.238.796,98;26.546;9.063.730,68;55.354;19.422.727,18;105.589;52.076.860,21;78.469;64.645.149,25;43.053;63.160.620,45;38.119;173.986.046,51;5.469;74.143.848,80
mar/24;548;783.298,23;12.689;5.056.435,06;28.122;11.391.708,72;56.781;33.715.891,94;46.656;47.979.988,26;28.392;48.788.741,97;28.541;142.438.861,30;4.201;48.855.464,30
fev/24;861;1.388.791,73;11.066;5.402.954,98;25.517;12.384.531,95;56.749;38.076.987,54;51.310;55.028.946,30;34.129;52.952.943,47;25.536;106.270.251,37;3.155;32.591.648,38
jan/24;398;625.183,96;10.389;5.383.179,08;23.944;15.569.977,44;65.138;99.954.249,21;75.405;195.666.837,15;54.642;157.690.402,94;67.695;262.060.895,27;8.613;63.049.274,95
dez/23;938;1.619.430,79;14.194;7.096.390,33;26.376;14.523.535,01;61.065;47.483.990,43;57.162;70.627.782,77;40.597;66.184.303,43;39.830;127.817.223,87;4.314;35.100.588,34
nov/23;1.205;1.953.528,14;16.038;8.616.936,81;31.805;19.493.478,35;86.813;106.929.447,43;95.642;203.277.719,84;63.400;155.196.759,13;58.060;211.911.166,31;5.774;55.527.892,67
out/23;1.122;1.934.763,75;15.762;9.990.571,27;33.331;22.919.197,17;88.105;96.443.654,60;92.111;144.059.750,45;63.534;127.386.143,01;54.438;186.339.644,12;6.106;54.186.031,92
set/23;4.976;11.305.081,99;56.052;38.140.600,19;123.397;96.722.629,53;376.837;449.101.265,94;390.255;633.552.154,66;244.609;459.786.004,19;57.572;211.332.678,49;7.402;65.670.322,15
ago/23;16.265;32.046.705,97;261.308;169.570.424,14;603.208;485.567.623,02;1.824.101;1.923.375.008,47;1.903.681;2.425.011.190,03;1.411.360;2.049.070.452,41;86.427;327.241.546,99;11.960;88.117.048,97
jul/23;6.445;10.895.028,25;336.453;203.397.996,60;780.312;641.892.317,01;1.932.390;2.232.244.590,70;1.545.283;2.365.502.120,38;919.570;1.589.889.972,40;95.047;362.613.574,82;16.536;93.564.399,84
jun/23;2.788;4.578.720,45;245.810;157.140.984,59;602.075;508.918.238,08;1.466.319;1.676.896.931,60;1.121.366;1.667.078.020,40;591.633;1.041.521.694,14;978.397;2.051.815.328,46;130.088;392.050.082,28
mai/23;1.945;3.040.652,59;29.798;28.745.790,56;107.881;120.493.289,86;405.117;575.728.562,45;524.507;902.609.687,15;350.633;684.114.178,89;2.464.031;4.508.151.274,15;246.013;677.116.564,35
abr/23;1.608;5.274.857,01;20.547;9.493.281,53;44.820;17.386.178,81;89.724;48.911.665,31;66.465;67.357.601,42;38.987;62.266.719,10;25.136;96.520.831,88;3.647;36.833.347,65
mar/23;473;1.970.942,20;2.997;2.550.107,40;7.671;5.353.761,58;21.980;25.723.397,08;22.606;44.518.963,09;15.466;48.267.911,74;20.181;125.126.903,83;3.490;46.488.013,08
fev/23;770;1.242.894,83;7.272;4.173.027,08;18.582;9.287.901,55;47.116;29.537.798,94;42.755;38.795.652,66;27.663;36.840.015,02;30.651;100.955.959,29;4.256;29.166.750,63
jan/23;1.581;7.242.147,56;5.750;8.368.506,05;12.636;11.090.594,74;34.863;39.146.548,81;35.086;63.764.248,74;22.956;62.780.204,80;20.624;134.264.149,13;3.069;41.361.454,44
dez/22;6.977;30.876.463,97;29.280;44.577.384,40;53.917;46.437.252,47;142.795;159.929.367,29;137.338;238.356.577,67;81.974;180.261.019,26;31.743;156.874.587,87;4.613;46.062.840,55
nov/22;1.027;1.946.285,93;14.423;10.708.979,89;41.438;36.123.621,09;136.742;184.563.295,84;136.720;274.736.761,86;94.792;218.528.464,45;115.654;386.437.215,91;15.889;86.955.375,03
out/22;1.727;5.552.617,86;19.715;14.185.241,48;46.171;35.380.635,51;135.797;153.955.782,62;127.171;208.380.002,46;80.018;165.550.660,16;54.365;176.639.586,89;6.483;40.355.473,02
set/22;3.121;4.500.998,01;62.791;39.859.381,36;155.425;125.894.420,92;434.026;545.937.324,75;337.226;611.737.372,54;186.219;391.336.646,56;36.492;138.152.448,25;5.201;42.581.407,61
ago/22;9.712;15.168.444,11;193.027;126.793.784,59;530.434;440.799.969,85;1.549.886;1.769.087.611,80;1.291.330;2.016.966.461,51;819.745;1.418.002.640,43;60.575;166.606.287,73;7.855;46.574.799,98
jul/22;9.667;14.666.970,71;239.647;153.361.594,98;623.421;494.971.297,46;1.769.564;1.847.441.344,98;1.486.758;1.977.614.111,65;1.041.181;1.590.884.432,96;62.969;175.473.883,84;9.461;45.586.363,42
jun/22;4.970;7.555.881,47;113.764;76.351.399,63;353.637;295.656.058,04;1.162.542;1.354.354.805,36;1.080.904;1.619.233.138,36;771.735;1.333.784.558,08;675.495;1.355.774.612,06;87.401;257.289.547,00
mai/22;1.198;1.767.307,69;9.435;9.648.198,96;44.909;49.901.913,01;225.225;322.202.599,95;329.530;578.154.417,21;241.326;474.816.784,82;2.305.412;4.254.944.218,72;226.934;608.564.559,64
abr/22;615;754.154,82;9.201;3.300.687,11;24.584;8.974.624,18;64.211;34.199.663,33;50.500;37.973.014,76;32.835;34.029.262,68;25.019;45.252.170,51;3.188;16.072.952,79
mar/22;735;980.622,55;8.118;3.788.524,16;23.008;9.673.061,16;64.769;39.724.944,42;55.161;45.787.904,35;36.590;40.697.582,34;21.540;49.793.397,30;2.790;19.553.963,72
fev/22;80;131.272,28;352;276.048,93;1.489;963.474,15;6.467;6.829.716,27;7.987;12.675.480,11;6.425;16.197.204,74;19.611;44.904.809,02;2.555;18.021.994,50
jan/22;736;970.733,21;7.524;3.841.412,00;22.446;11.259.862,65;70.831;53.392.618,34;63.950;68.626.762,73;43.313;60.842.438,70;28.358;62.988.656,57;3.586;20.013.926,95
dez/21;506;680.729,45;6.516;3.393.952,97;15.037;8.259.445,03;45.751;38.540.686,09;41.578;55.749.233,55;30.045;53.102.435,55;30.866;92.209.638,12;4.183;33.063.879,24
nov/21;696;925.629,53;10.409;6.507.516,56;24.129;15.280.087,75;72.015;83.130.402,10;64.558;109.145.519,25;46.054;92.009.124,32;37.928;110.875.905,34;4.623;32.125.815,15
out/21;832;1.175.733,29;10.702;6.008.674,49;26.766;16.014.237,36;84.141;85.397.231,83;74.126;110.713.369,01;51.133;90.469.020,68;40.459;109.334.849,35;4.593;29.410.565,09
set/21;917;1.253.778,06;11.923;7.869.804,61;31.597;23.022.143,51;103.244;111.635.973,97;93.369;140.417.060,49;64.692;116.895.095,20;47.465;131.229.825,93;4.955;30.335.338,75
ago/21;8.111;12.316.777,56;142.806;89.956.203,73;435.951;342.035.720,88;1.375.282;1.555.475.134,27;1.089.703;1.700.370.096,89;691.812;1.207.522.764,55;67.893;172.030.564,20;8.185;43.311.831,65
jul/21;10.348;15.481.667,71;200.084;121.966.670,61;592.256;436.762.108,00;1.744.571;1.709.101.508,99;1.389.095;1.749.020.609,67;1.022.592;1.488.409.779,11;95.298;215.839.907,82;13.985;63.417.748,09
jun/21;5.085;7.843.758,24;114.355;74.913.155,30;362.014;288.001.209,40;1.156.718;1.287.875.300,56;974.209;1.403.328.318,19;733.760;1.237.348.792,50;779.763;1.438.939.116,05;97.082;261.750.349,76
mai/21;1.185;1.824.344,90;16.627;12.082.791,68;79.001;67.026.089,49;374.143;459.831.555,35;469.375;735.248.263,65;342.787;633.010.278,38;1.966.234;3.564.835.464,37;196.686;526.141.212,18
abr/21;346;493.147,14;3.575;1.900.004,22;10.352;5.310.959,28;30.620;23.189.425,12;27.505;34.377.453,03;20.718;35.956.727,38;23.615;59.325.005,78;3.537;22.447.278,05
mar/21;471;718.780,93;4.309;2.382.337,84;11.883;6.692.673,29;36.372;32.033.007,05;32.280;45.203.580,38;24.649;47.888.548,62;23.087;65.237.674,28;3.199;25.222.605,94
fev/21;308;516.522,19;2.563;2.086.049,65;8.916;5.519.265,71;31.158;29.122.512,43;28.173;38.213.632,70;20.141;34.590.786,54;19.221;54.911.099,12;2.641;18.562.550,72
jan/21;348;553.380,56;2.710;2.371.495,41;9.581;6.714.554,44;36.514;43.064.853,83;34.725;63.284.478,88;25.266;53.261.547,66;23.243;75.026.923,32;3.166;23.318.726,78
dez/20;647;1.053.322,57;5.630;4.305.477,85;16.846;14.088.906,01;58.743;68.164.418,58;52.565;83.452.813,80;37.315;71.980.328,58;27.172;84.523.278,71;3.470;26.693.065,71
nov/20;653;1.024.509,43;5.006;4.551.241,33;14.631;13.712.548,92;55.386;76.306.695,01;53.579;100.818.890,40;39.554;87.957.833,84;26.599;87.925.766,63;3.559;27.702.514,41
out/20;623;1.092.528,15;5.973;4.687.570,62;18.913;17.195.205,27;75.973;104.953.631,55;74.799;145.364.547,00;53.853;121.394.059,14;38.301;131.861.229,00;5.110;33.451.229,27
