Mês;  Até 18 anos  ;R$ até 18 anos; 19-25 anos ;R$ 19-25 anos; 26-30 anos ;R$ 26-30 anos; 31-40 anos ;R$ 31-40 anos; 41-50 anos ;R$ 41-50 anos; 51-59 anos ;R$ 51-59 anos; ≥ 60 anos ;R$ ≥ 60 anos;  ≥ 80 anos ; R$ ≥ 80 anos
abr/18;226;340.544,48;866;983.275,29;3.692;3.749.911,73;25.550;28.306.119,18;15.982;32.231.492,42;14.449;34.222.369,35;17.754;80.166.287,55; Não disponível ;Não disponível
mar/18;149;269.286,57;902;938.958,38;3.891;3.608.631,54;20.992;27.018.904,29;19.807;36.503.093,98;15.538;35.469.636,21;15.365;66.191.489,03; Não disponível ;Não disponível
fev/18;224;403.481,47;1.662;1.861.262,87;5.863;5.917.920,79;23.754;33.234.175,27;31.144;52.061.495,96;19.445;43.729.375,67;20.269;73.406.112,34; Não disponível ;Não disponível
jan/18;310;555.702,17;2.673;2.683.265,75;14.061;13.808.056,90;48.341;66.983.664,52;45.150;81.111.628,38;30.889;65.567.706,74;24.474;79.396.082,53; Não disponível ;Não disponível
dez/17;3.391;5.673.408,90;76.907;51.717.071,31;274.288;244.418.009,45;781.923;1.038.098.647,90;543.176;994.852.837,95;335.524;681.278.258,62;23.775;91.998.199,53; Não disponível ;Não disponível
nov/17;4.108;6.288.232,29;90.121;55.461.803,03;324.169;259.651.675,69;892.121;968.098.381,85;641.503;908.584.250,25;450.754;704.634.348,33;26.209;97.281.308,56; Não disponível ;Não disponível
out/17;3.920;6.196.933,58;84.046;53.122.555,99;312.956;255.127.488,70;851.824;930.395.736,75;647.914;898.209.688,37;497.447;766.925.134,54;22.351;90.022.462,07; Não disponível ;Não disponível
set/17;3.368;5.378.187,35;79.671;51.064.875,07;293.221;240.503.254,42;805.729;887.439.705,76;631.746;868.086.542,22;502.871;785.392.317,28;40.429;162.135.117,90; Não disponível ;Não disponível
ago/17;2.348;3.763.614,37;66.090;44.125.179,78;246.302;219.863.345,57;698.950;876.281.503,89;557.115;884.727.416,92;446.497;785.598.911,45;45.576;185.640.028,02; Não disponível ;Não disponível
jul/17;1.033;1.806.913,76;20.799;17.531.345,27;92.275;102.640.421,29;293.419;490.775.037,68;234.620;539.302.826,61;189.238;470.463.543,10;664.547;1.377.479.912,29; Não disponível ;Não disponível
jun/17;279;406.411,96;1.450;1.414.058,27;5.510;6.186.471,60;22.969;40.602.707,97;30.915;67.904.880,96;47.390;98.088.597,46;1.527.705;2.785.396.871,78; Não disponível ;Não disponível
